ID,Name,Description,CLTS_BIPA,CLTS_Name
o_u00F8u02D0,øː,,øː,long rounded close-mid front vowel
c_u0063u02D0,cː,,cː,long voiceless palatal stop consonant
p_u0070u033C,p̼,,,
n_u0273,ɳ,,ɳ,voiced retroflex nasal consonant
ui_u0264u0069,ɤi,,ɤi,from unrounded close-mid back to unrounded close front diphthong
_u2C71u031F,ⱱ̟,,ⱱ̟,advanced voiced labio-dental tap consonant
trh_u0288u027Du02B0,ʈɽʰ,,,
dz_u0064u033Bu007Au033B,d̻z̻,,dz̻,voiced laminal alveolar sibilant affricate consonant
dz_u0064u02D0u0291,dːʑ,,dʑː,long voiced alveolo-palatal sibilant affricate consonant
g_u0067u01C3,gǃ,,gǃ,voiced alveolar click consonant
w_u026Fu0303,ɯ̃,,ɯ̃,nasalized unrounded close back vowel
qw_u0071u02B7u0027,qʷ',,qʼʷ,labialized voiceless uvular ejective stop consonant
ng_u014Bu02E4,ŋˤ,,ŋˤ,pharyngealized voiced velar nasal consonant
tn_u0288u0273,ʈɳ,,,
nd_u004Eu0064,Nd,,,
jj_u025Fu029D,ɟʝ,,ɟʝ,voiced palatal affricate consonant
e_u0065u0308,ë,,ë,centralized unrounded close-mid front vowel
fw_u0066u02B7,fʷ,,fʷ,labialized voiceless labio-dental fricative consonant
wa_u0077u0061,wa,,,
o_u006Fu0308,ö,,ö,centralized rounded close-mid back vowel
aw_u0251u026F,ɑɯ,,ɑɯ,from unrounded open back to unrounded close back diphthong
u_u028Au02D0,ʊː,,ʊː,long rounded near-close near-back vowel
r_u0279u0294,ɹʔ,,,
u_u0075u0320,u̠,,u̠,retracted rounded close back vowel
n_u006Eu003A,n:,,nː,long voiced alveolar nasal consonant
ai_u0250u0069,ɐi,,ɐi,from unrounded near-open central to unrounded close front diphthong
i_u0069u0259u032F,iə̯,,iə̯,from unrounded close front to non-syllabic unrounded mid central diphthong
lw_u006Cu032Au02B7,l̪ʷ,,l̪ʷ,labialized voiced dental lateral approximant consonant
nd_u0294u006Eu0064,ʔnd,,,
ao_u0061u006Fu032F,ao̯,,ao̯,from unrounded open front to non-syllabic rounded close-mid back diphthong
ej_u0065u006A,ej,,,
oe_u006Fu0065u032F,oe̯,,oe̯,from rounded close-mid back to non-syllabic unrounded close-mid front diphthong
o_u006Fu02D0,oː,,oː,long rounded close-mid back vowel
aei_u00E6u0069,æi,,æi,from unrounded near-open front to unrounded close front diphthong
mb_u006Du0062,mb,,mb,from voiced bilabial nasal to voiced bilabial stop cluster
e_u025Bu0324,ɛ̤,,ɛ̤,breathy unrounded open-mid front vowel
dh_u0256u02B0,ɖʰ,,ɖʰ,aspirated voiced retroflex stop consonant
rw_u0281u02B7u02D0,ʁʷː,,ʁʷː,labialized long voiced uvular fricative consonant
e_u0065u02D1,eˑ,,eˑ,mid-long unrounded close-mid front vowel
